"","cluster_ids","cell_type","origin","age"
"A12.1000500702","1","NE","adult",7
"D10.1000500702","0","NE","adult",7
"C10.1000500702","1","NE","adult",7
"H5.1000500601","0","NE","adult",5
"A8.1000500702","1","NE","adult",7
"G8.1000500701","0","NE","adult",7
"A5.1000500702","1","NE","adult",7
"A11.1000500701","1","NE","adult",7
"A12.1000500601","1","NE","adult",5
"D11.1000500702","1","NE","adult",7
"A2.1000500702","1","NE","adult",7
"D5.1000500702","0","NE","adult",7
"C6.1000500702","1","NE","adult",7
"B8.1000500702","0","NE","adult",7
"E5.1000500702","0","NE","adult",7
"C1.1000500702","0","NE","adult",7
"E1.1000500702","0","NE","adult",7
"B11.1000500702","0","NE","adult",7
"B7.1000500702","0","NE","adult",7
"B1.1000500704","1","NE","adult",7
"F11.1000500701","0","NE","adult",7
"A11.1000500602","0","NE","adult",5
"G11.1000500602","0","NE","adult",5
"G2.1000500602","0","NE","adult",5
"E1.1000500602","1","NE","adult",5
"H7.1000500701","1","NE","adult",7
"C6.1000500601","0","NE","adult",5
"E2.1000500704","1","NE","adult",7
"B7.1000500701","1","NE","adult",7
"E6.1000500702","1","NE","adult",7
"C4.1000500702","0","NE","adult",7
"A3.1000500602","0","NE","adult",5
"B5.1000500702","1","NE","adult",7
"E2.1000500601","1","NE","adult",5
"B3.1000500702","0","NE","adult",7
"F7.1000500704","1","NE","adult",7
"C7.1000500702","1","NE","adult",7
"A9.1000500702","0","NE","adult",7
"E4.1000500702","1","NE","adult",7
"A1.1000500702","1","NE","adult",7
"B9.1000500701","0","NE","adult",7
"H2.1000500704","1","NE","adult",7
"B5.1000500601","1","NE","adult",5
"A4.1000500601","1","NE","adult",5
"E11.1000500704","0","NE","adult",7
"D7.1000500702","1","NE","adult",7
"F1.1000500702","1","NE","adult",7
"A7.1000500702","1","NE","adult",7
"E2.1000500702","1","NE","adult",7
"C2.1000500702","1","NE","adult",7
"B10.1000500601","1","NE","adult",5
"E9.1000500702","0","NE","adult",7
"F12.1000500601","0","NE","adult",5
"C5.1000500702","1","NE","adult",7
"D1.1000500704","1","NE","adult",7
"F11.1000500704","0","NE","adult",7
"C7.1000500601","0","NE","adult",5
"D2.1000500702","0","NE","adult",7
"B9.1000500702","1","NE","adult",7
"D6.1000500702","1","NE","adult",7
"G4.1000500704","1","NE","adult",7
"E3.1000500702","1","NE","adult",7
"E5.1000500704","1","NE","adult",7
"A10.1000500702","1","NE","adult",7
"E8.1000500701","1","NE","adult",7
"F2.1000500602","0","NE","adult",5
"E9.1000500701","1","NE","adult",7
"E7.1000500702","1","NE","adult",7
"H3.1000500701","1","NE","adult",7
"G12.1000500701","0","NE","adult",7
"D4.1000500702","1","NE","adult",7
"D1.1000500702","1","NE","adult",7
"H9.1000500704","1","NE","adult",7
"F12.1000500701","0","NE","adult",7
"G5.1000500602","0","NE","adult",5
"D3.1000500702","0","NE","adult",7
