"","gene_count","read_count","condition"
"A10_B003776_1ng",2375,120511,"1ng"
"A11_B003776_1ng",3348,408413,"1ng"
"A12_B003776_1ng",6218,677685,"1ng"
"A13_B003776_1ng",2915,399001,"1ng"
"A14_B003776_1ng",2873,269571,"1ng"
"A15_B003776_1ng",7536,996875,"1ng"
"A16_B003776_1ng",1837,126740,"1ng"
"A17_B003776_1ng",6644,635115,"1ng"
"A18_B003776_1ng",4779,415885,"1ng"
"A19_B003776_1ng",4781,529275,"1ng"
"A1_B003776_1ng",6253,1169914,"1ng"
"A20_B003776_1ng",6129,560498,"1ng"
"A21_B003776_1ng",33,18030,"1ng"
"A22_B003776_1ng",3480,179087,"1ng"
"A2_B003776_1ng",2675,246187,"1ng"
"A3_B003776_1ng",4283,545583,"1ng"
"A4_B003776_1ng",346,17328,"1ng"
"A5_B003776_1ng",2757,164846,"1ng"
"A6_B003776_1ng",1567,133563,"1ng"
"A7_B003776_1ng",2657,346779,"1ng"
"A8_B003776_1ng",1578,280853,"1ng"
"A9_B003776_1ng",2782,315388,"1ng"
"B10_B003776_1ng",2943,267333,"1ng"
"B11_B003776_1ng",2876,244015,"1ng"
"B12_B003776_1ng",6956,388497,"1ng"
"B13_B003776_1ng",4948,217265,"1ng"
"B14_B003776_1ng",1340,8511,"1ng"
"B15_B003776_1ng",5386,308078,"1ng"
"B16_B003776_1ng",4801,257017,"1ng"
"B17_B003776_1ng",3215,212096,"1ng"
"B18_B003776_1ng",4143,198351,"1ng"
"B19_B003776_1ng",4701,537999,"1ng"
"B1_B003776_1ng",2025,159562,"1ng"
"B20_B003776_1ng",123,17252,"1ng"
"B21_B003776_1ng",2974,172127,"1ng"
"B22_B003776_1ng",3879,316810,"1ng"
"B2_B003776_1ng",2335,168532,"1ng"
"B3_B003776_1ng",4661,504550,"1ng"
"B4_B003776_1ng",3577,390074,"1ng"
"B5_B003776_1ng",1833,127742,"1ng"
"B6_B003776_1ng",4079,341700,"1ng"
"B7_B003776_1ng",393,21387,"1ng"
"B8_B003776_1ng",47,14247,"1ng"
"B9_B003776_1ng",351,17631,"1ng"
"C10_B003776_1ng",2207,103056,"1ng"
"C11_B003776_1ng",24,13480,"1ng"
"C12_B003776_1ng",3101,186465,"1ng"
"C13_B003776_1ng",303,37931,"1ng"
"C14_B003776_1ng",5911,432500,"1ng"
"C15_B003776_1ng",4535,202905,"1ng"
"C16_B003776_1ng",5769,578583,"1ng"
"C17_B003776_1ng",1669,88973,"1ng"
"C18_B003776_1ng",2671,81752,"1ng"
"C19_B003776_1ng",33,15763,"1ng"
"C1_B003776_1ng",1845,235801,"1ng"
"C20_B003776_1ng",4003,271202,"1ng"
"C21_B003776_1ng",6219,622550,"1ng"
"C22_B003776_1ng",2519,330484,"1ng"
"C2_B003776_1ng",411,20529,"1ng"
"C3_B003776_1ng",2271,333184,"1ng"
"C4_B003776_1ng",2278,203274,"1ng"
"C5_B003776_1ng",3403,263578,"1ng"
"C6_B003776_1ng",662,94764,"1ng"
"C7_B003776_1ng",3647,290942,"1ng"
"C8_B003776_1ng",4544,599691,"1ng"
"C9_B003776_1ng",336,7313,"1ng"
"D10_B003776_1ng",2163,259967,"1ng"
"D11_B003776_1ng",5466,845913,"1ng"
"D12_B003776_1ng",5188,495764,"1ng"
"D13_B003776_1ng",2563,266901,"1ng"
"D14_B003776_1ng",6445,505513,"1ng"
"D15_B003776_1ng",6329,728395,"1ng"
"D16_B003776_1ng",7457,879855,"1ng"
"D17_B003776_1ng",30,10833,"1ng"
"D18_B003776_1ng",3751,222573,"1ng"
"D19_B003776_1ng",42,16734,"1ng"
"D1_B003776_1ng",2929,262314,"1ng"
"D20_B003776_1ng",4186,283559,"1ng"
"D21_B003776_1ng",1676,7134,"1ng"
"D22_B003776_1ng",5615,545584,"1ng"
"D2_B003776_1ng",1979,385948,"1ng"
"D3_B003776_1ng",5138,1057701,"1ng"
"D4_B003776_1ng",5364,643619,"1ng"
"D5_B003776_1ng",302,7018,"1ng"
"D6_B003776_1ng",322,17949,"1ng"
"D7_B003776_1ng",25,22588,"1ng"
"D8_B003776_1ng",1737,61285,"1ng"
"D9_B003776_1ng",2405,246547,"1ng"
"E10_B003776_1ng",631,35342,"1ng"
"E11_B003776_1ng",1476,80517,"1ng"
"E12_B003776_1ng",3167,286398,"1ng"
"E13_B003776_1ng",4410,446194,"1ng"
"E14_B003776_1ng",3845,199040,"1ng"
"E15_B003776_1ng",6420,209217,"1ng"
"E16_B003776_1ng",7058,571457,"1ng"
"E17_B003776_1ng",7481,648552,"1ng"
"E18_B003776_1ng",4818,396757,"1ng"
"E19_B003776_1ng",5989,297939,"1ng"
"E1_B003776_1ng",4124,354027,"1ng"
"E20_B003776_1ng",1716,59095,"1ng"
"E21_B003776_1ng",4168,229958,"1ng"
"E22_B003776_1ng",6604,573472,"1ng"
"E2_B003776_1ng",3106,100051,"1ng"
"E3_B003776_1ng",29,1144,"1ng"
"E4_B003776_1ng",633,28978,"1ng"
"E5_B003776_1ng",281,2431,"1ng"
"E6_B003776_1ng",3216,216720,"1ng"
"E7_B003776_1ng",381,16310,"1ng"
"E8_B003776_1ng",4824,518376,"1ng"
"E9_B003776_1ng",455,23640,"1ng"
"F10_B003776_1ng",2381,290619,"1ng"
"F11_B003776_1ng",5129,361275,"1ng"
"F12_B003776_1ng",5878,409776,"1ng"
"F13_B003776_1ng",3107,126246,"1ng"
"F14_B003776_1ng",6631,923835,"1ng"
"F15_B003776_1ng",68,172,"1ng"
"F16_B003776_1ng",6051,372235,"1ng"
"F17_B003776_1ng",3616,174367,"1ng"
"F18_B003776_1ng",18,3829,"1ng"
"F19_B003776_1ng",1982,101553,"1ng"
"F1_B003776_1ng",1014,34237,"1ng"
"F20_B003776_1ng",25,10406,"1ng"
"F21_B003776_1ng",34,10205,"1ng"
"F22_B003776_1ng",450,22766,"1ng"
"F2_B003776_1ng",511,24804,"1ng"
"F3_B003776_1ng",791,54773,"1ng"
"F4_B003776_1ng",24,15719,"1ng"
"F5_B003776_1ng",1589,103974,"1ng"
"F6_B003776_1ng",1874,212452,"1ng"
"F7_B003776_1ng",388,24008,"1ng"
"F8_B003776_1ng",1855,104141,"1ng"
"F9_B003776_1ng",3896,287569,"1ng"
"G10_B003776_1ng",2063,237011,"1ng"
"G11_B003776_1ng",196,15039,"1ng"
"G12_B003776_1ng",6774,572560,"1ng"
"G13_B003776_1ng",6566,469963,"1ng"
"G14_B003776_1ng",6932,786738,"1ng"
"G15_B003776_1ng",4013,298205,"1ng"
"G16_B003776_1ng",6452,538392,"1ng"
"G17_B003776_1ng",5797,631472,"1ng"
"G18_B003776_1ng",6304,389360,"1ng"
"G19_B003776_1ng",5925,117220,"1ng"
"G1_B003776_1ng",7433,849818,"1ng"
"G20_B003776_1ng",6616,494959,"1ng"
"G21_B003776_1ng",5719,249545,"1ng"
"G22_B003776_1ng",537,38151,"1ng"
"G2_B003776_1ng",874,81487,"1ng"
"G3_B003776_1ng",3053,329062,"1ng"
"G4_B003776_1ng",5073,782285,"1ng"
"G5_B003776_1ng",1880,143732,"1ng"
"G6_B003776_1ng",1877,220364,"1ng"
"G7_B003776_1ng",330,22183,"1ng"
"G8_B003776_1ng",2519,105879,"1ng"
"G9_B003776_1ng",331,10801,"1ng"
"H10_B003776_1ng",2241,267912,"1ng"
"H11_B003776_1ng",4117,393980,"1ng"
"H12_B003776_1ng",5161,71399,"1ng"
"H13_B003776_1ng",3858,311279,"1ng"
"H14_B003776_1ng",3091,37082,"1ng"
"H15_B003776_1ng",5712,526630,"1ng"
"H16_B003776_1ng",2497,77890,"1ng"
"H17_B003776_1ng",6803,424038,"1ng"
"H18_B003776_1ng",7186,618222,"1ng"
"H19_B003776_1ng",3831,20829,"1ng"
"H1_B003776_1ng",471,25246,"1ng"
"H20_B003776_1ng",4509,416409,"1ng"
"H21_B003776_1ng",37,12471,"1ng"
"H22_B003776_1ng",5791,473649,"1ng"
"H2_B003776_1ng",587,41533,"1ng"
